!EXCLAMATION-POINT	ˌɛkskləmˈeɪʃənpˌɔɪnt
#HASH-MARK	hˈæmˌɑːrk
#POUND-SIGN	pˈaʊndsˌaɪn
#SHARP-SIGN	ʃˈɑːrpsˌaɪn
%PERCENT	pɝsˈɛnt
&AMPERSAND	ˈæmpɝsˌænd
STRICKLEN	strˈɪkələn
STRICKLER	strˈɪklɝ
STRICKLIN	strˈɪklɪn
STRICKLING	strˈɪklɪŋ
STRICT	strˈɪkt
STRICTER	strˈɪktɝ
STRICTEST	strˈɪktəst
STRICTLY	strˈɪktli
STRICTURE	strˈɪktʃɝ
STRICTURES	strˈɪktʃɝz
STRIDE	strˈaɪd
STRIDENCY	strˈaɪdənsi
STRIDENT	strˈaɪdənt
STRIDENTLY	strˈaɪdəntli
STRIDER	strˈaɪdɝ
STRIDES	strˈaɪdz
STRIDING	strˈaɪdɪŋ
STRIEBER	strˈaɪbɝ
STRIEGEL	strˈiːgəl
STRIEKER	strˈiːkɝ
STRIEKER'S	strˈiːkɝz
STRIETER	strˈiːtɝ
STRIFE	strˈaɪf
STRIFES	strˈaɪfs
STRIKE	strˈaɪk
STRIKE'S	strˈaɪks
STRIKEBREAKER	strˈaɪkbrˌeɪkɝ
STRIKEBREAKERS	strˈaɪkbrˌeɪkɝz
STRIKEOUT	strˈaɪkˌaʊt
STRIKEOUTS	strˈaɪkˌaʊts
STRIKER	strˈaɪkɝ
STRIKER'S	strˈaɪkɝz
STRIKERS	strˈaɪkɝz
STRIKERS'	strˈaɪkɝz
STRIKES	strˈaɪks
STRIKES'	strˈaɪks
STRIKING	strˈaɪkɪŋ
STRIKINGLY	strˈaɪkɪŋli
STRIMPLE	strˈɪmpəl
STRINDEN	strˈɪndən
STRINE	strˈaɪn
STRING	strˈɪŋ
STRINGED	strˈɪŋd
STRINGENCY	strˈɪndʒənsi
STRINGENT	strˈɪndʒənt
STRINGENTLY	strˈɪndʒəntli
STRINGER	strˈɪŋɝ
STRINGERS	strˈɪŋɝz
STRINGFELLOW	strˈɪŋfˌɛloʊ
STRINGFIELD	strˈɪŋfˌiːld
STRINGHAM	strˈɪŋhˌæm
STRINGING	strˈɪŋɪŋ
STRINGS	strˈɪŋz
STRINGY	strˈɪŋi
STRIP	strˈɪp
STRIP'S	strˈɪps
STRIPE	strˈaɪp
STRIPED	strˈaɪpt
STRIPER	strˈaɪpɝ
STRIPERS	strˈaɪpɝz
STRIPES	strˈaɪps
STRIPLIN	strˈɪplɪn
STRIPLING	strˈɪplɪŋ
STRIPPED	strˈɪpt
STRIPPER	strˈɪpɝ
STRIPPERS	strˈɪpɝz
STRIPPING	strˈɪpɪŋ
STRIPS	strˈɪps
STRIPTEASE	strˈɪptˌiːz
STRITE	strˈaɪt
STRITTMATTER	strˈɪtmətɝ
STRIVE	strˈaɪv
STRIVEN	strˈɪvən
STRIVES	strˈaɪvz
STRIVING	strˈaɪvɪŋ
STRIVINGS	strˈaɪvɪŋz
STRNAD	stˈɝːnæd
STROBE	strˈoʊb
STROBEL	strˈoʊbəl
STROBEL'S	strˈoʊbəlz
STROBER	strˈoʊbɝ
STROBL	strˈɑːbəl
STROBLE	strˈoʊbəl
STROBRIDGE	strˈɑːbrɪdʒ
STROCK	strˈɑːk
STRODE	strˈoʊd
STRODER	strˈoʊdɝ
STROEBEL	strˈoʊbəl
STROESSNER	strˈoʊsnɝ
STROGANOFF	strˈoʊgənˌɔf
STROH	strˈoʊ
STROHECKER	strˈoʊɪkɝ
STROHL	strˈoʊl
STROHM	strˈoʊm
STROHMAIER	strˈoʊmaɪɝ
STROHMAN	strˈoʊmən
STROHMEIER	strˈoʊmaɪɝ
STROHMEYER	strˈoʊmaɪɝ
STROIK	strˈɔɪk
STROJNY	strˈoʊjni
STROKE	strˈoʊk
STROKED	strˈoʊkt
STROKES	strˈoʊks
STROKING	strˈoʊkɪŋ
STROLE	strˈoʊl
STROLL	strˈoʊl
STROLLED	strˈoʊld
STROLLER	strˈoʊlɝ
STROLLERS	strˈoʊlɝz
STROLLING	strˈoʊlɪŋ
STROLLO	strˈɑːloʊ
STROLLS	strˈoʊlz
STROM	strˈɑːm
STROMA	strˈoʊmə
STROMAIN	strˈɑːmaɪn
STROMAN	strˈoʊmən
STROMBECK	strˈɑːmbˌɛk
STROMBERG	strˈɑːmbɝg
STROMBOLI	strˌɑːmbˈoʊli
STROMBOLI'S	strˌɑːmbˈoʊliːz
STROME	strˈoʊm
STROMER	strˈoʊmɝ
STROMGREN	strˈɑːmgrɛn
STROMME	strˈɑːm
STROMMEN	strˈɑːmən
STROMQUIST	strˈɑːmkwˌɪst
STRONACH	strˈɑːnək
STRONG	strˈɔŋ
STRONGER	strˈɔŋgɝ
STRONGEST	strˈɔŋgəst
STRONGHOLD	strˈɔŋhˌoʊld
STRONGHOLDS	strˈɔŋhˌoʊldz
STRONGLY	strˈɔŋli
STRONGMAN	strˈɔŋmˌæn
STRONTIUM	strˈɑːntiːəm
STROOCK	strˈʊk
STROOP	strˈuːp
STROOPE	strˈuːp
STROOT	strˈuːt
STROPE	strˈoʊp
STROSCHEIN	strˈɔʃaɪn
STROSNIDER	strˈɑːsnaɪdɝ
STROSSEN	strˈɔsɛn
STROSSEN(1)	strˈɔsɪn
STROTHER	strˈɑːðɝ
STROTHERS	strˈʌðɝz
STROTHMAN	strˈɑːθmən
STROUD	strˈaʊd
STROUGH	strˈaʊ
STROUP	strˈuːp
STROUPE	strˈuːp
STROUSE	strˈaʊs
STROUT	strˈaʊt
STROUTH	strˈaʊθ
STROVE	strˈoʊv
STROW	strˈoʊ
STROZIER	strˈoʊziːɝ
STRUB	strˈʌb
STRUBBE	strˈʌb
STRUBE	strˈuːb
STRUBEL	strˈuːbəl
STRUBLE	strˈuːbəl
STRUCHEN	strˈʌkən
STRUCK	strˈʌk
STRUCKMAN	strˈʌkmən
STRUCTURAL	strˈʌktʃɝəl
STRUCTURALLY	strˈʌktʃɝəli
STRUCTURE	strˈʌktʃɝ
STRUCTURE'S	strˈʌktʃɝz
STRUCTURED	strˈʌktʃɝd
STRUCTURES	strˈʌktʃɝz
STRUCTURING	strˈʌktʃɝɪŋ
STRUEBING	strˈʊbɪŋ
STRUGGLE	strˈʌgəl
STRUGGLE'S	strˈʌgəlz
STRUGGLED	strˈʌgəld
STRUGGLES	strˈʌgəlz
STRUGGLING	strˈʌgəlɪŋ
STRUGGLING(1)	strˈʌglɪŋ
STRUM	strˈʌm
STRUMMING	strˈʌmɪŋ
STRUMS	strˈʌmz
STRUNG	strˈʌŋ
STRUNK	strˈʌŋk
STRUNK'S	strˈʌŋks
STRUPP	strˈʌp
STRUSS	strˈʌs
STRUT	strˈʌt
STRUTHERS	strˈʌðɝz
STRUTS	strˈʌts
STRUTTING	strˈʌtɪŋ
STRUTTON	strˈʌtən
STRUTZ	strˈʌts
STRUVE	strˈuːv
STRYCHARZ	strˈɪhɝz
STRYCHNINE	strˈɪknˌaɪn
STRYKER	strˈaɪkɝ
STRZELECKI	strˌɛzɪlˈɛtski
STRZELECKI(1)	stˌɝːzɪlˈɛtski
STU	stˈuː
STUARD	stˈuːɝd
STUART	stˈuːɝt
STUART(1)	stjˈuːɝt
STUART(2)	stˈɔrt
STUART'S	stˈuːɝts
STUART'S(1)	stjˈuːɝts
STUART'S(2)	stˈɔrts
STUARTS	stˈuːɝts
STUB	stˈʌb
STUBBE	stˈʌb
STUBBED	stˈʌbd
STUBBINS	stˈʌbɪnz
STUBBLE	stˈʌbəl
STUBBLEFIELD	stˈʌbəlfˌiːld
STUBBORN	stˈʌbɝn
STUBBORNLY	stˈʌbɝnli
STUBBORNNESS	stˈʌbɝnnəs
STUBBORNNESS(1)	stˈʌbɝnəs
STUBBS	stˈʌbz
STUBBY	stˈʌbi
STUBER	stˈuːbɝ
STUBS	stˈʌbz
STUCCO	stˈʌkoʊ
STUCCOED	stˈʌkoʊd
STUCHELL	stˈʌkəl
STUCK	stˈʌk
STUCKE	stˈʌk
STUCKER	stˈʌkɝ
STUCKERT	stˈʌkɝt
STUCKEY	stˈʌki
STUCKI	stˈʌki
STUCKMAN	stˈʌkmən
STUCKY	stˈʌki
STUD	stˈʌd
STUDDARD	stˈʌdɝd
STUDDED	stˈʌdɪd
STUDDS	stˈʌdz
STUDE	stˈuːd
STUDEBAKER	stˈuːdəbˌeɪkɝ
STUDEMAN	stˈuːdmən
STUDEMAN(1)	stˈuːdəmən
STUDENT	stˈuːdənt
STUDENT'S	stˈuːdənts
STUDENTS	stˈuːdənts
STUDENTS'	stˈuːdənts
STUDER	stˈuːdɝ
STUDIED	stˈʌdiːd
STUDIES	stˈʌdiːz
STUDIO	stˈuːdiːˌoʊ
STUDIO'S	stˈuːdiːˌoʊz
STUDIOS	stˈuːdiːˌoʊz
STUDIOS'	stˈuːdiːˌoʊz
STUDIOUS	stˈuːdiːəs
STUDIOUSLY	stˈuːdiːəsli
STUDLEY	stˈʌdli
STUDNICKA	stədnˈɪskə
STUDS	stˈʌdz
STUDSTILL	stˈʌdstˌɪl
STUDT	stˈʌdt
STUDTGARD	stˈʌtgˌɑːrd
STUDY	stˈʌdi
STUDY'S	stˈʌdiːz
STUDYING	stˈʌdiːɪŋ
STUDZINSKI	stədʒˈɪnski
STUEBE	stˈuːb
STUEBER	stˈʊbɝ
STUECK	stˈuːk
STUEVE	stˈuːv
STUEWE	stˈuː
STUFF	stˈʌf
STUFF'S	stˈʌfs
STUFF-IT	stˈʌfɪt
STUFF-IT'S	stˈʌfɪts
STUFFED	stˈʌft
STUFFER	stˈʌfɝ
STUFFING	stˈʌfɪŋ
STUFFLEBEAM	stˈʌfəlbˌiːm
STUFFLEBEAN	stˈʌfəlbˌiːn
STUFFS	stˈʌfs
STUFFY	stˈʌfi
STUHLER	stˈuːlɝ
STUHR	stˈɝː
STUHR(1)	stˈʊr
STUKA	stˈuːkə
STUKEL	stˈuːkəl
STUKES	stˈuːks
STUKEY	stˈʌki
STULL	stˈʌl
STULLER	stˈʌlɝ
STULTIFY	stˈʌltəfˌaɪ
STULTIFYING	stˈʌltəfˌaɪɪŋ
STULTS	stˈʌlts
STULTZ	stˈʌlts
STUM	stˈʌm
STUMBAUGH	stˈʌmbˌɔ
STUMBLE	stˈʌmbəl
STUMBLED	stˈʌmbəld
STUMBLES	stˈʌmbəlz
STUMBLING	stˈʌmbəlɪŋ
STUMBLING(1)	stˈʌmblɪŋ
STUMBO	stˈʌmbˌoʊ
STUMM	stˈʌm
STUMP	stˈʌmp
STUMPAGE	stˈʌmpɪdʒ
STUMPE	stˈʌmp
STUMPED	stˈʌmpt
STUMPER	stˈʌmpɝ
STUMPF	stˈʌmpf
STUMPFF	stˈʌmpf
STUMPH	stˈʌmf
STUMPING	stˈʌmpɪŋ
STUMPO	stˈʌmpˌoʊ
STUMPP	stˈʌmp
STUMPS	stˈʌmps
STUN	stˈʌn
STUNG	stˈʌŋ
STUNK	stˈʌŋk
STUNNED	stˈʌnd
STUNNER	stˈʌnɝ
STUNNING	stˈʌnɪŋ
STUNNINGLY	stˈʌnɪŋli
STUNS	stˈʌnz
STUNT	stˈʌnt
STUNTED	stˈʌntɪd
STUNTS	stˈʌnts
STUNTZ	stˈʌnts
STUPA	stˈuːpˌɑː
STUPAK	stˈuːpɑːk
STUPAR	stˈuːpɝ
STUPAY	stuːpˈeɪ
STUPENDOUS	stuːpˈɛndəs
STUPID	stˈuːpɪd
STUPIDER	stˈuːpɪdɝ
STUPIDEST	stˈuːpɪdəst
STUPIDITY	stuːpˈɪdɪtˌiː
STUPIDLY	stˈuːpɪdlˌiː
STUPKA	stˈʌpkˌɑː
STUPOR	stˈuːpɝ
STUPP	stˈʌp
STUPSKI	stˈʌpskˌiː
STURBRIDGE	stˈɝːbrˌɪdʒ
STURC	stˈɝːk
STURDEVANT	stˈɝːdɪvənt
STURDHAL	stˈɝːdɑːl
STURDIER	stˈɝːdiːɝ
STURDINESS	stˈɝːdiːnəs
STURDIVANT	stˈɝːdɪvənt
STURDY	stˈɝːdi
STURGELL	stˈɝːgəl
STURGEON	stˈɝːdʒən
STURGEON(1)	stˈɝːdʒɪn
STURGEONS	stˈɝːdʒənz
STURGES	stˈɝːdʒɪz
STURGESS	stˈɝːgɪs
STURGILL	stˈɝːgəl
STURGIS	stˈɝːdʒɪs
STURKIE	stˈɝːki
STURM	stˈɝːm
STURMAN	stˈɝːmən
STURMANS	stˈɝːmənz
STURMER	stˈɝːmɝ
STURN	stˈɝːn
STURROCK	stˈɔrək
STURTEVANT	stˈɝːtəvənt
STURTZ	stˈɝːts
STURZA	stˈɝːzə
STUTES	stˈuːts
STUTESMAN	stˈuːtsmən
STUTEVILLE	stˈuːtvˌɪl
STUTHEIT	stˈʌθaɪt
STUTLER	stˈʌtlɝ
STUTNER	stˈʌtnɝ
STUTSMAN	stˈʌtsmən
STUTTER	stˈʌtɝ
STUTTERING	stˈʌtɝɪŋ
STUTTERS	stˈʌtɝz
STUTTGART	stˈʌtgɝt
STUTTGART(1)	stˈuːtgˌɑːrt
STUTTGART(2)	ʃtˈuːtgˌɑːrt
STUTTS	stˈʌts
STUTZ	stˈʌts
STUTZMAN	stˈʌtsmən
STUVE	stˈuːv
STUVER	stˈuːvɝ
STUYVESANT	stˈaɪvəsənt
STY	stˈaɪ
STYER	stˈaɪɝ
STYERS	stˈaɪɝz
STYGIAN	stˈɪdʒiːən
STYLE	stˈaɪl
STYLED	stˈaɪld
STYLES	stˈaɪlz
STYLING	stˈaɪlɪŋ
STYLISH	stˈaɪlɪʃ
STYLISHLY	stˈaɪlɪʃli
STYLIST	stˈaɪlɪst
STYLISTIC	staɪlˈɪstɪk
STYLISTICALLY	staɪlˈɪstɪkli
STYLISTS	stˈaɪlɪsts
STYLITES	stɪlˈaɪts
STYLIZE	stˈaɪlˌaɪz
STYLIZE(1)	stˈaɪəlˌaɪz
STYLIZED	stˈaɪlˌaɪzd
STYLUS	stˈaɪləs
STYMIE	stˈaɪmi
STYMIED	stˈaɪmiːd
STYMIES	stˈaɪmiːz
STYNE	stˈaɪn
STYRENE	stˈaɪrˌiːn
STYROFOAM	stˈaɪrəfˌoʊm
STYRON	stˈaɪrɔn
STYS	stˈɪs
STYX	stˈɪks
ST_CHARLES	sˈeɪnttʃˈɑːrəlz
ST_CLAIR	sˈeɪntklˈɛr
ST_CLAIRE	sˈeɪntklˈɛr
ST_CYR	sˈeɪntkˈɪr
ST_CYR(1)	sˈeɪntsˈɪr
ST_DENIS	sˈeɪntdˈɛnɪs
ST_DENNIS	sˈeɪntdˈɛnɪs
ST_GEORGE	sˈeɪntdʒˈɔrdʒ
ST_GERMAIN	sˈeɪntdʒˌɝːmˈeɪn
ST_GERMAINE	sˈeɪntdʒˌɝːmˈeɪn
ST_GERMAINE(1)	sˈɑːnʒˌɝːmˈeɪn
ST_HILAIRE	sˈeɪnthɪlˈeɪr
ST_JACQUES	sˈeɪntdʒˈɑːks
ST_JACQUES(1)	sˈɑːnʒˈɑːks
ST_JAMES	sˈeɪntdʒˈeɪmz
ST_JEAN	sˈeɪntdʒˈiːn
ST_JOHN	sˈeɪntdʒˈɑːn
ST_JOHNS	sˈeɪntdʒˈɑːnz
ST_JULIEN	sˈeɪntdʒˈuːliːən
ST_LAURENT	sˈeɪntlˈɔrənt
ST_LAURENT(1)	sˈɑːnlˌɔrˈɔnt
ST_LAWRENCE	sˈeɪntlˈɔrəns
ST_LOUIS	sˈeɪntlˈuːəs
ST_LOUIS(1)	sˈeɪntlˈuːi
ST_LUCIA	sˈeɪntlˈuːʃə
ST_LUCIA(1)	sˈeɪntlˌuːsˈiːə
ST_MARIE	sˈeɪntmɝˈiː
ST_MARTIN	sˈeɪntmˈɑːrtɪn
ST_MARY	sˈeɪntmˈɛri
ST_PETER	sˈeɪntpˈiːtɝ
ST_PETERSBURG	sˈeɪntpˈiːtɝzbɝg
ST_PIERRE	sˈeɪntpjˈɛr
ST_THOMAS	sˈeɪntˈɑːməs
SU	sˈuː
SUARD	sˈuːɑːrd
SUARD(1)	swˈɑːrd
SUAREZ	swɑːrˈɛz
SUASION	swˈeɪʒən
SUATA	suːˈɑːtə
SUATA'S	suːˈɑːtəz
SUAVE	swˈɑːv
SUAZO	swˈɑːzoʊ
SUB	sˈʌb
SUB'S	sˈʌbz
SUB-FOREMAN	səbfˈɔrmən
SUB-WAY	sˈʌbwˌeɪ
SUBA	sˈuːbə
SUBACUTE	sˈʌbəkjˈuːt
SUBANDRIO	səbˈændriːoʊ
SUBARU	sˈuːbɝuː
SUBASSEMBLIES	sˌəbəsˈɛmbliːz
SUBASSEMBLY	sˌəbəsˈɛmbli
SUBATOMIC	sˌəbətˈɑːmɪk
SUBBED	sˈʌbd
SUBBING	sˈʌbɪŋ
SUBCHAPTER	sˈʌbtʃˈæptɝ
SUBCOMMANDER	sˈʌbkəmˌændɝ
SUBCOMMANDER'S	sˈʌbkəmˌændɝz
SUBCOMMANDERS	sˈʌbkəmˌændɝz
SUBCOMMITTEE	sˈʌbkəmˈɪti
SUBCOMMITTEE'S	sˈʌbkəmˈɪtiːz
SUBCOMMITTEES	sˈʌbkəmˈɪtiːz
SUBCOMPACT	səbkˈɑːmpækt
SUBCOMPACTS	səbkˈɑːmpækts
SUBCONSCIOUS	səbkˈɑːnʃəs
SUBCONSCIOUSLY	səbkˈɑːnʃəsli
SUBCONTINENT	səbkˈɑːntɪnənt
SUBCONTINENTS	səbkˈɑːntɪnənts
SUBCONTRACT	səbkˈɑːntrˌækt
SUBCONTRACTED	səbkˈɑːntræktɪd
SUBCONTRACTING	sˌəbkəntrˈæktɪŋ
SUBCONTRACTOR	səbkˈɑːntrˌæktɝ
SUBCONTRACTORS	səbkˈɑːntræktɝz
SUBCONTRACTS	səbkˈɑːntrˌækts
SUBCULTURE	sˈʌbkˌəltʃɝ
SUBCULTURES	sˈʌbkˌəltʃɝz
SUBCUTANEOUS	səbkjˌuːtˈeɪniːəs
SUBDIVIDE	sˌəbdəvˈaɪd
SUBDIVIDED	sˌəbdɪvˈaɪdɪd
SUBDIVISION	sˈʌbdɪvˌɪʒən
SUBDIVISIONS	sˈʌbdɪvˌɪʒənz
SUBDUE	səbdˈuː
SUBDUED	səbdˈuːd
SUBDUING	səbdˈuːɪŋ
SUBER	sˈuːbɝ
SUBFAMILIES	sˈʌbfˌæməliːz
SUBFAMILY	sˈʌbfˌæməli
SUBGROUP	sˈʌbgrˌuːp
SUBGROUPS	sˈʌbgrˌuːps
SUBHLOK	sˈʌblˌɑːk
SUBHUMAN	sˌəbhjˈuːmən
SUBIA	suːbˈiːə
SUBIC	sˈuːbɪk
SUBJECT	səbdʒˈɛkt
SUBJECT(1)	sˈʌbdʒɪkt
SUBJECT'S	sˈʌbdʒɪkts
SUBJECTED	səbdʒˈɛktɪd
SUBJECTING	səbdʒˈɛktɪŋ
SUBJECTIVE	səbdʒˈɛktɪv
SUBJECTIVITY	səbdʒɛktˈɪvɪti
SUBJECTS	sˈʌbdʒɪkts
SUBJECTS(1)	səbdʒˈɛkts
SUBJECTS(2)	səbdʒˈɛks
SUBJECTS'	sˈʌbdʒɛkts
SUBJECTS'(1)	sˈʌbdʒɛks
SUBJUGATE	sˈʌbdʒəgˌeɪt
SUBJUGATED	sˈʌbdʒəgˌeɪtɪd
SUBKINGDOM	səbkˈɪŋdəm
SUBLEASE	sˈʌblˌiːs
SUBLEASING	səblˈiːsɪŋ
SUBLET	sˈʌblˌɛt
SUBLETT	sˈuːblɪt
SUBLIME	səblˈaɪm
SUBLIMINAL	səblˈɪmɪnəl
SUBLIMINALLY	səblˈɪmɪnəli
SUBLUXATION	səbləksˈeɪʃən
SUBLUXATIONS	səbləksˈeɪʃənz
SUBMACHINE	sˌəbməʃˈiːn
SUBMARINE	sˈʌbmɝˌiːn
SUBMARINE(1)	sˌəbmɝˈiːn
SUBMARINE'S	sˈʌbmɝˌiːnz
SUBMARINE'S(1)	səbmɝˈiːnz
SUBMARINES	sˈʌbmɝˌiːnz
SUBMARINES(1)	səbmɝˈiːnz
SUBMARINES'S	sˈʌbmɝˌiːnzɪz
SUBMERGE	səbmˈɝːdʒ
SUBMERGED	səbmˈɝːdʒd
SUBMERGENCE	səbmˈɝːdʒəns
SUBMERSE	səbmˈɝːs
SUBMERSED	səbmˈɝːst
SUBMERSIBLE	səbmˈɝːsɪbəl
SUBMERSION	səbmˈɝːʒən
SUBMINIMUM	səbmˈɪnɪməm
SUBMISSION	səbmˈɪʃən
SUBMISSIONS	səbmˈɪʃənz
SUBMISSIVE	səbmˈɪsɪv
SUBMIT	səbmˈɪt
SUBMITS	sˌəbmˈɪts
SUBMITTED	səbmˈɪtɪd
SUBMITTING	səbmˈɪtɪŋ
SUBNOTEBOOK	sˈʌbnˈoʊtbˌʊk
SUBORDINATE	səbˈɔrdənˌeɪt
SUBORDINATE(1)	səbˈɔrdənət
SUBORDINATED	səbˈɔrdənˌeɪtɪd
SUBORDINATES	səbˈɔrdənˌeɪts
SUBORDINATES(1)	səbˈɔrdənəts
SUBORDINATING	səbˈɔrdənˌeɪtɪŋ
SUBORDINATION	səbˌɔrdənˈeɪʃən
SUBOTNICK	səbˈɑːtnɪk
SUBPAR	səbpˈɑːr
SUBPLOT	sˈʌbplɑːt
SUBPLOTS	sˈʌbplɑːts
SUBPOENA	səpˈiːnə
SUBPOENAED	səpˈiːnəd
SUBPOENAING	səpˈiːnəɪŋ
SUBPOENAS	səpˈiːnəz
SUBPRINCIPAL	səbprˈɪnsəpəl
SUBPRINCIPALS	səbprˈɪnsəpəlz
SUBRA	sˈuːbrə
SUBRAMANIAN	sˌuːbrəmˈɑːniːən
SUBROTO	suːbrˈoʊtoʊ
SUBROUTINE	sˈʌbruːtˌiːn
SUBS	sˈʌbz
SUBS'S	sˈʌbzɪz
SUBSAHARAN	sˌəbsəhˈɛrən
SUBSCRIBE	səbskrˈaɪb
SUBSCRIBED	səbskrˈaɪbd
SUBSCRIBER	səbskrˈaɪbɝ
SUBSCRIBER'S	səbskrˈaɪbɝz
SUBSCRIBERS	səbskrˈaɪbɝz
SUBSCRIBERS'	səbskrˈaɪbɝz
SUBSCRIBES	səbskrˈaɪbz
SUBSCRIBING	səbskrˈaɪbɪŋ
SUBSCRIPTION	səbskrˈɪpʃən
SUBSCRIPTIONS	səbskrˈɪpʃənz
SUBSECTION	sˈʌbsɛkʃən
SUBSEQUENT	sˈʌbsəkwənt
SUBSEQUENTLY	sˈʌbsəkwəntli
SUBSERVIENCE	səbsˈɝːviːəns
SUBSERVIENT	səbsˈɝːviːənt
SUBSET	sˈʌbsˌɛt
SUBSETS	sˈʌbsˌɛts
SUBSIDE	səbsˈaɪd
SUBSIDED	səbsˈaɪdɪd
SUBSIDENCE	səbsˈaɪdəns
SUBSIDES	səbsˈaɪdz
SUBSIDIARIES	səbsˈɪdiːˌɛriːz
SUBSIDIARIES'	səbsˈɪdiːˌɛriːz
SUBSIDIARY	səbsˈɪdiːˌɛri
SUBSIDIARY'S	səbsˈɪdiːˌɛriːz
SUBSIDIES	sˈʌbsədiːz
SUBSIDIES(1)	sˈʌbsɪdiːz
SUBSIDING	səbsˈaɪdɪŋ
SUBSIDIZATION	sˌəbsɪdɪzˈeɪʃən
SUBSIDIZE	sˈʌbsɪdˌaɪz
SUBSIDIZED	sˈʌbsɪdˌaɪzd
SUBSIDIZES	sˈʌbsɪdˌaɪzɪz
SUBSIDIZING	sˈʌbsɪdˌaɪzɪŋ
SUBSIDY	sˈʌbsɪdi
SUBSIST	səbsˈɪst
SUBSISTENCE	səbsˈɪstəns
SUBSOIL	sˈʌbsˌɔɪl
SUBSPACE	sˈʌbspˌeɪs
SUBSPACES	sˈʌbspˌeɪsɪs
SUBSPACING	sˈʌbspˌeɪsɪŋ
SUBSTANCE	sˈʌbstəns
SUBSTANCES	sˈʌbstənsəz
SUBSTANCES(1)	sˈʌbstənsɪz
SUBSTANDARD	səbstˈændɝd
SUBSTANTIAL	səbstˈænʃəl
SUBSTANTIALLY	səbstˈænʃəli
SUBSTANTIATE	səbstˈæntʃiːˌeɪt
SUBSTANTIATE(1)	səbstˈænʃiːˌeɪt
SUBSTANTIATED	səbstˈænʃiːˌeɪtɪd
SUBSTANTIATED(1)	səbstˈæntʃiːˌeɪtɪd
SUBSTANTIATES	səbstˈæntʃiːˌeɪts
SUBSTANTIATES(1)	səbstˈænʃiːˌeɪts
SUBSTANTIATION	səbstˌæntʃiːˈeɪʃən
SUBSTANTIATION(1)	səbstˌænʃiːˈeɪʃən
SUBSTANTIVE	sˈʌbstəntɪv
SUBSTANTIVELY	sˈʌbstəntɪvli
SUBSTATION	sˈʌbstˌeɪʃən
SUBSTITUTE	sˈʌbstətˌuːt
SUBSTITUTED	sˈʌbstətˌuːtɪd
SUBSTITUTES	sˈʌbstətˌuːts
SUBSTITUTING	sˈʌbstɪtˌuːtɪŋ
SUBSTITUTION	sˌəbstɪtˈuːʃən
SUBSTITUTIONS	sˌəbstɪtjˈuːʃənz
SUBSTRATE	sˈʌbstrˌeɪt
SUBSTRATES	sˈʌbstrˌeɪts
SUBSURFACE	sˈʌbsˌɝːfəs
SUBSYSTEM	sˈʌbsˌɪstəm
SUBSYSTEMS	sˈʌbsˌɪstəmz
SUBTERFUGE	sˈʌbtɝfjˌuːdʒ
SUBTERRANEAN	səbtɝˈeɪniːən
SUBTEXT	sˈʌbtˌɛkst
SUBTITLE	sˈʌbtˌaɪtəl
SUBTITLED	sˈʌbtˌaɪtəld
SUBTITLES	sˈʌbtˌaɪtəlz
SUBTLE	sˈʌtəl
SUBTLER	sˈʌtəlɝ
SUBTLER(1)	sˈʌtlɝ
SUBTLETIES	sˈʌtəltiːz
SUBTLETY	sˈʌtəlti
SUBTLY	sˈʌtəli
SUBTRACT	səbtrˈækt
SUBTRACTED	səbtrˈæktɪd
SUBTRACTING	səbtrˈæktɪŋ
SUBTRACTION	səbtrˈækʃən
SUBTYPE	sˈʌbtˌaɪp
SUBTYPING	sˈʌbtˌaɪpɪŋ
SUBUNIT	sˌəbjˈuːnɪt
SUBUNITS	sˌəbjˈuːnɪts
SUBURB	sˈʌbɝb
SUBURB'S	sˈʌbɝbz
SUBURBAN	səbˈɝːbən
SUBURBANITE	səbˈɝːbənˌaɪt
SUBURBANITES	səbˈɝːbənˌaɪts
SUBURBANIZATION	səbˌɝːbənɪzˈeɪʃən
SUBURBANIZE	səbˈɝːbənˌaɪz
SUBURBANS	səbˈɝːbənz
SUBURBIA	səbˈɝːbiːə
SUBURBS	sˈʌbɝbz
SUBVERSION	səbvˈɝːʒən
SUBVERSIVE	səbvˈɝːsɪv
SUBVERSIVES	səbvˈɝːsɪvz
SUBVERT	səbvˈɝːt
SUBVERTED	səbvˈɝːtɪd
SUBVERTING	səbvˈɝːtɪŋ
SUBVERTS	səbvˈɝːts
SUBVOLCANIC	sˌəbvɑːlkˈænɪk
SUBWAY	sˈʌbwˌeɪ
SUBWAYS	sˈʌbwˌeɪz
SUBZERO	sˌəbzˈɪroʊ
SUBZERO(1)	sˌəbzˈiːroʊ
SUC	sˈʌk
SUCCEED	səksˈiːd
SUCCEEDED	səksˈiːdɪd
SUCCEEDING	səksˈiːdɪŋ
SUCCEEDS	səksˈiːdz
SUCCESS	səksˈɛs
SUCCESSES	səksˈɛsɪz
SUCCESSFUL	səksˈɛsfəl
SUCCESSFULLY	səksˈɛsfəli
SUCCESSION	səksˈɛʃən
SUCCESSIVE	səksˈɛsɪv
SUCCESSIVELY	səksˈɛsɪvli
SUCCESSOR	səksˈɛsɝ
SUCCESSORS	səksˈɛsɝz
SUCCINCT	səksˈɪŋkt
SUCCINCTLY	səksˈɪŋktli
SUCCOR	sˈʌkɝ
SUCCULENT	sˈʌkjəlɪnt
